Metric,Value
Urban Mean LST,36.911678419386526
Rural Mean LST,40.90470195462546
UHI Difference,-3.993023535238933
NDVI-LST Correlation,-0.508625
MODIS Mean LST,32.145251030215235
Landsat Mean LST,36.911678419386526
MODIS-Landsat Difference,-4.766427389171291
